rank,tier,title,year,authors,venue,doi,url,cited_by_count,category,problem_claimed,actual_mechanism_introduced,hidden_assumptions,variables_treated_as_fixed,failure_modes_ignored,what_it_makes_less_novel,what_it_leaves_open,source,abstract,concepts
1,hostile_prior_work,"Do As I Can, Not As I Say: Grounding Language in Robotic Affordances",2022,"Michael Ahn, Anthony Brohan, Noah Brown, et al.",CoRL,,,0,affordance learning,predict which actions an object or scene physically affords to an embodied agent,learned action-effect affordance predictor,the robot does not need to spend action budget on diagnostic tests,the set of available diagnostic actions,sensor probe is noisy or unavailable,makes generic affordance prediction and action-effect learning non-novel,auditable failure certificates for rejected actions,curated,Combines language-model scores with affordance value functions to choose feasible robot skills.,language model; affordance; robotics; SayCan
2,hostile_prior_work,VoxPoser: Composable 3D Value Maps for Robotic Manipulation with Language Models,2023,"Wenlong Huang, Chen Wang, Ruohan Zhang, et al.",CoRL,,,0,language-conditioned robotics,ground linguistic or text-derived priors in robot actions,language-conditioned scoring or plan generation,the environment will not include adversarially relabeled or modified artifacts,"object damage such as holes, cracks, dull edges, and blocked openings",planner accepts a semantically plausible but physically impossible step,makes text-conditioned planning and language-affordance scoring non-novel,formal error bounds under label-preserving affordance flips,curated,Builds 3D value maps from language and perception for manipulation planning.,language model; value maps; manipulation; 3D
3,hostile_prior_work,Reasoning About Object Affordances in a Knowledge Base Representation,2014,"Yixin Zhu, Yibiao Zhao, Song-Chun Zhu",ECCV Workshop,,,0,affordance learning,predict which actions an object or scene physically affords to an embodied agent,learned action-effect affordance predictor,visual appearance exposes the variables needed for safe action,material parameters,novel object whose visible geometry is misleading,makes generic affordance prediction and action-effect learning non-novel,cost-aware selection among micro-experiments,curated,Represents object affordances in a knowledge base for reasoning about actions and scenes.,knowledge base; affordance; commonsense reasoning
4,hostile_prior_work,PaLM-E: An Embodied Multimodal Language Model,2023,"Danny Driess, Fei Xia, Mehdi S. M. Sajjadi, et al.",ICML,,,0,language-conditioned robotics,ground linguistic or text-derived priors in robot actions,language-conditioned scoring or plan generation,training labels encode the same affordance boundary needed at deployment,"object damage such as holes, cracks, dull edges, and blocked openings",sensor probe is noisy or unavailable,makes text-conditioned planning and language-affordance scoring non-novel,formal error bounds under label-preserving affordance flips,curated,"Trains a large multimodal model over language, vision, and embodied robot inputs.",embodied language model; multimodal; robotics
5,hostile_prior_work,Inner Monologue: Embodied Reasoning Through Planning with Language Models,2022,"Wenlong Huang, Pieter Abbeel, Deepak Pathak, Igor Mordatch",CoRL,,,0,language-conditioned robotics,ground linguistic or text-derived priors in robot actions,language-conditioned scoring or plan generation,visual appearance exposes the variables needed for safe action,embodiment and end-effector geometry,"false positive that causes spill, drop, breakage, or collision",makes text-conditioned planning and language-affordance scoring non-novel,auditable failure certificates for rejected actions,curated,Feeds environment feedback into language-model planning loops for embodied tasks.,language model; embodied reasoning; planning; feedback
6,hostile_prior_work,Language Models as Zero-Shot Planners: Extracting Actionable Knowledge for Embodied Agents,2022,"Wenlong Huang, Fei Xia, Ted Xiao, Harris Chan, Jacky Liang, Pete Florence, Andy Zeng, Jonathan Tompson, Igor Mordatch, Yevgen Chebotar, Pierre Sermanet, Noah Brown, Tomas Jackson, Linda Luu, Sergey Levine, Karol Hausman, Brian Ichter",ICML Workshop,,,0,language-conditioned robotics,ground linguistic or text-derived priors in robot actions,language-conditioned scoring or plan generation,training labels encode the same affordance boundary needed at deployment,distribution of counterfeit or unusual objects,diagnostic action changes the object state or consumes scarce resources,makes text-conditioned planning and language-affordance scoring non-novel,auditable failure certificates for rejected actions,curated,Uses large language models to produce plans for embodied agents without task-specific training.,language model; planning; embodied agents
7,hostile_prior_work,To Afford or Not to Afford: A New Formalization of Affordances Toward Affordance-Based Robot Control,2007,"Erol Sahin, Maya Cakmak, Mehmet R. Dogar, Emre Ugur, Gokhan Ucoluk",Adaptive Behavior,,,0,affordance learning,predict which actions an object or scene physically affords to an embodied agent,learned action-effect affordance predictor,failure costs are low enough to learn from direct task execution,"object damage such as holes, cracks, dull edges, and blocked openings",sensor probe is noisy or unavailable,makes generic affordance prediction and action-effect learning non-novel,benchmarks where names and visual priors are decoupled from causal properties,curated,"Formalizes affordances for robots as relations among effect, entity, and behavior.",robot affordances; formalization; behavior; control
8,hostile_prior_work,Learning Object Affordances: From Sensory-Motor Coordination to Imitation,2008,"Luis Montesano, Manuel Lopes, Alexandre Bernardino, Jose Santos-Victor",IEEE Transactions on Robotics,,,0,affordance learning,predict which actions an object or scene physically affords to an embodied agent,learned action-effect affordance predictor,object names remain correlated with their physical affordances,material parameters,planner accepts a semantically plausible but physically impossible step,makes generic affordance prediction and action-effect learning non-novel,explicit treatment of hidden physical variables as part of common sense,curated,"Learns probabilistic affordance models connecting actions, objects, and effects from robot interaction.",robot affordances; probabilistic model; object action effect
9,hostile_prior_work,Behavior-Grounded Representation of Tool Affordances,2005,Alexander Stoytchev,ICRA Workshop,,,0,affordance learning,predict which actions an object or scene physically affords to an embodied agent,learned action-effect affordance predictor,a static dataset contains the relevant rare counterexamples,the mapping from words to object instances,same-named object with opposite affordance,makes generic affordance prediction and action-effect learning non-novel,formal error bounds under label-preserving affordance flips,curated,Represents tool affordances through behavioral outcomes rather than object names alone.,tool affordances; behavior; robotics
10,hostile_prior_work,Object-Action Complexes: Grounded Abstractions of Sensory-Motor Processes,2011,"Norbert Kruger, Christopher Geib, Justus Piater, et al.",Robotics and Autonomous Systems,,,0,affordance learning,predict which actions an object or scene physically affords to an embodied agent,learned action-effect affordance predictor,the robot does not need to spend action budget on diagnostic tests,the set of available diagnostic actions,rare material state dominates success but is not represented in labels,makes generic affordance prediction and action-effect learning non-novel,benchmarks where names and visual priors are decoupled from causal properties,curated,Argues for object-action complexes as grounded abstractions connecting perception and action.,object action complexes; affordances; embodied cognition
11,hostile_prior_work,Code as Policies: Language Model Programs for Embodied Control,2023,"Jacky Liang, Wenlong Huang, Fei Xia, et al.",ICRA,,,0,language-conditioned robotics,ground linguistic or text-derived priors in robot actions,language-conditioned scoring or plan generation,"skill preconditions are stable across materials, wear, and hidden state",the set of available diagnostic actions,diagnostic action changes the object state or consumes scarce resources,makes text-conditioned planning and language-affordance scoring non-novel,formal error bounds under label-preserving affordance flips,curated,Uses language models to write policy code that composes perception and control APIs.,language model; code generation; embodied control
12,hostile_prior_work,RT-1: Robotics Transformer for Real-World Control at Scale,2022,"Anthony Brohan, Noah Brown, Justice Carbajal, et al.",arXiv,,,0,manipulation skill learning,make robot manipulation robust to object and scene variation,large transformer policy or multimodal representation,the environment will not include adversarially relabeled or modified artifacts,"load, volume, temperature, and other task demands",task demand outside the training range,makes skill-conditioned manipulation policies non-novel,operational tests that define the predicate before task execution,curated,Trains a transformer policy on a large real robot manipulation dataset.,robot foundation model; imitation learning; manipulation
13,hostile_prior_work,CLIPort: What and Where Pathways for Robotic Manipulation,2022,"Mohit Shridhar, Lucas Manuelli, Dieter Fox",CoRL,,,0,manipulation skill learning,ground linguistic or text-derived priors in robot actions,language-conditioned scoring or plan generation,a plan-level success score is enough to expose local physical impossibility,sensor noise and latency,sensor probe is noisy or unavailable,makes skill-conditioned manipulation policies non-novel,cost-aware selection among micro-experiments,curated,Combines CLIP semantics with transport-based policies for language-conditioned manipulation.,language conditioned manipulation; CLIP; imitation learning
14,hostile_prior_work,The Psychology of Everyday Things,1988,Donald A. Norman,Book,,,0,affordance learning,predict which actions an object or scene physically affords to an embodied agent,learned action-effect affordance predictor,the robot does not need to spend action budget on diagnostic tests,"load, volume, temperature, and other task demands",rare material state dominates success but is not represented in labels,makes generic affordance prediction and action-effect learning non-novel,operational tests that define the predicate before task execution,curated,"Popularizes perceived affordances, constraints, mappings, and everyday design failures.",affordance; design; common sense; constraints
15,hostile_prior_work,Large Language Models Still Can't Plan,2023,"Karthik Valmeekam, Alberto Olmo, Sarath Sreedharan, Subbarao Kambhampati",NeurIPS Workshop,,,0,language-conditioned robotics,ground linguistic or text-derived priors in robot actions,language-conditioned scoring or plan generation,failure costs are low enough to learn from direct task execution,distribution of counterfeit or unusual objects,task demand outside the training range,makes text-conditioned planning and language-affordance scoring non-novel,formal error bounds under label-preserving affordance flips,curated,Shows limitations of large language models on planning benchmarks.,language model; planning; evaluation
16,hostile_prior_work,AffordanceNet: An End-to-End Deep Learning Approach for Object Affordance Detection,2018,"Thanh-Toan Do, Anh Nguyen, Ian Reid",ICRA,,,0,affordance learning,predict which actions an object or scene physically affords to an embodied agent,learned action-effect affordance predictor,failure costs are low enough to learn from direct task execution,cost of unsafe false positives,task demand outside the training range,makes generic affordance prediction and action-effect learning non-novel,auditable failure certificates for rejected actions,curated,Detects object parts and affordance regions using deep visual models.,affordance detection; deep learning; vision
17,hostile_prior_work,RT-2: Vision-Language-Action Models Transfer Web Knowledge to Robotic Control,2023,"Anthony Brohan, Noah Brown, Justice Carbajal, et al.",CoRL,,,0,language-conditioned robotics,ground linguistic or text-derived priors in robot actions,language-conditioned scoring or plan generation,failure costs are low enough to learn from direct task execution,cost of unsafe false positives,same-named object with opposite affordance,makes text-conditioned planning and language-affordance scoring non-novel,cost-aware selection among micro-experiments,curated,Transfers web-scale vision-language representations into robot action prediction.,vision language action model; robot foundation model; web knowledge
18,hostile_prior_work,Open X-Embodiment: Robotic Learning Datasets and RT-X Models,2023,Open X-Embodiment Collaboration,arXiv,,,0,supporting embodied AI,improve embodied-agent behavior under partial physical information,"learned representation, dataset, or planner for embodied decision making",the environment will not include adversarially relabeled or modified artifacts,the mapping from words to object instances,novel object whose visible geometry is misleading,makes broad embodied AI benchmarking or representation learning non-novel,benchmarks where names and visual priors are decoupled from causal properties,curated,Aggregates cross-embodiment robot datasets and trains generalist robot policies.,robot dataset; generalist policy; embodiment
19,hostile_prior_work,Learning to Poke by Poking: Experiential Learning of Intuitive Physics,2016,"Pulkit Agrawal, Ashvin Nair, Pieter Abbeel, Jitendra Malik, Sergey Levine",NeurIPS,,,0,physical world models,reason about object dynamics and material constraints,physical simulation or intuitive-physics estimator,a plan-level success score is enough to expose local physical impossibility,distribution of counterfeit or unusual objects,"false positive that causes spill, drop, breakage, or collision",makes predictive physical simulation or learned dynamics non-novel,operational tests that define the predicate before task execution,curated,Learns physical effects of poking objects from self-supervised interaction.,self-supervised robot learning; intuitive physics; interaction
20,hostile_prior_work,Supersizing Self-Supervision: Learning to Grasp from 50K Tries and 700 Robot Hours,2016,"Lerrel Pinto, Abhinav Gupta",ICRA,,,0,manipulation skill learning,choose reliable contact and grasp actions under partial perception,grasp-quality model trained from trials,"skill preconditions are stable across materials, wear, and hidden state",sensor noise and latency,diagnostic action changes the object state or consumes scarce resources,makes skill-conditioned manipulation policies non-novel,explicit treatment of hidden physical variables as part of common sense,curated,Learns grasping from large-scale autonomous robot attempts.,robot learning; self-supervision; grasping
21,hostile_prior_work,The Ecological Approach to Visual Perception,1979,James J. Gibson,Book,,,0,affordance learning,predict which actions an object or scene physically affords to an embodied agent,learned action-effect affordance predictor,a static dataset contains the relevant rare counterexamples,"load, volume, temperature, and other task demands",sensor probe is noisy or unavailable,makes generic affordance prediction and action-effect learning non-novel,benchmarks where names and visual priors are decoupled from causal properties,curated,Introduces affordances as action possibilities specified by the environment relative to an actor.,affordance; ecological psychology; perception; action
22,hostile_prior_work,Learning Human Activities and Object Affordances from RGB-D Videos,2013,"Hema S. Koppula, Rudhir Gupta, Ashutosh Saxena",IJRR,,,0,affordance learning,predict which actions an object or scene physically affords to an embodied agent,learned action-effect affordance predictor,"skill preconditions are stable across materials, wear, and hidden state","object damage such as holes, cracks, dull edges, and blocked openings",task demand outside the training range,makes generic affordance prediction and action-effect learning non-novel,benchmarks where names and visual priors are decoupled from causal properties,curated,Models human activities and object affordances jointly from RGB-D sequences.,object affordances; human activity; RGB-D; graphical model
23,hostile_prior_work,Affordance Detection of Tool Parts from Geometric Features,2015,"Austin Myers, Ching L. Teo, Cornelia Fermuller, Yiannis Aloimonos",ICRA,,,0,affordance learning,predict which actions an object or scene physically affords to an embodied agent,learned action-effect affordance predictor,visual appearance exposes the variables needed for safe action,distribution of counterfeit or unusual objects,same-named object with opposite affordance,makes generic affordance prediction and action-effect learning non-novel,auditable failure certificates for rejected actions,curated,Predicts functional tool-part affordances from shape and geometric descriptors.,tool affordance; geometry; part detection
24,hostile_prior_work,PDDLStream: Integrating Symbolic Planners and Blackbox Samplers via Optimistic Adaptive Planning,2020,"Caelan R. Garrett, Tomás Lozano-Pérez, Leslie Pack Kaelbling",ICAPS,,,0,planning and feasibility,connect high-level task choices to feasible robot executions,task-and-motion planner with feasibility models,"skill preconditions are stable across materials, wear, and hidden state",cost of unsafe false positives,same-named object with opposite affordance,makes feasibility checking inside task-and-motion planning non-novel,cost-aware selection among micro-experiments,curated,Combines symbolic task planning with black-box continuous samplers for task and motion planning.,task and motion planning; symbolic planning; samplers
25,hostile_prior_work,Learning About Objects Through Action: Initial Steps Towards Artificial Cognition,2003,"Paul Fitzpatrick, Giorgio Metta, Lorenzo Natale, Sajit Rao, Giulio Sandini",ICRA,,,0,supporting embodied AI,improve embodied-agent behavior under partial physical information,"learned representation, dataset, or planner for embodied decision making",object names remain correlated with their physical affordances,distribution of counterfeit or unusual objects,planner accepts a semantically plausible but physically impossible step,makes broad embodied AI benchmarking or representation learning non-novel,benchmarks where names and visual priors are decoupled from causal properties,curated,Uses robot actions to segment and learn object properties through interaction.,interactive perception; object learning; robot action
26,hostile_prior_work,World Models,2018,"David Ha, Jurgen Schmidhuber",arXiv,,,0,physical world models,predict physical consequences before acting,predictive latent dynamics model,a static dataset contains the relevant rare counterexamples,"load, volume, temperature, and other task demands",planner accepts a semantically plausible but physically impossible step,makes predictive physical simulation or learned dynamics non-novel,formal error bounds under label-preserving affordance flips,curated,Learns compact predictive models that can support agent behavior.,world model; representation learning; control
27,hostile_prior_work,Logic-Geometric Programming: An Optimization-Based Approach to Combined Task and Motion Planning,2015,Marc Toussaint,IJCAI,,,0,planning and feasibility,connect high-level task choices to feasible robot executions,task-and-motion planner with feasibility models,a static dataset contains the relevant rare counterexamples,material parameters,novel object whose visible geometry is misleading,makes feasibility checking inside task-and-motion planning non-novel,cost-aware selection among micro-experiments,curated,Formulates task and motion planning as coupled logical and geometric optimization.,task and motion planning; optimization; geometry
28,hostile_prior_work,Developing Intelligent Robots that Grasp Affordance,2022,Gerald E. Loeb,Frontiers in Robotics and AI,10.3389/frobt.2022.951293,https://doi.org/10.3389/frobt.2022.951293,8,affordance learning,predict which actions an object or scene physically affords to an embodied agent,learned action-effect affordance predictor,"skill preconditions are stable across materials, wear, and hidden state",sensor noise and latency,"false positive that causes spill, drop, breakage, or collision",makes generic affordance prediction and action-effect learning non-novel,operational tests that define the predicate before task execution,crossref:robot affordance learning manipulation,"Humans and robots operating in unstructured environments both need to classify objects through haptic exploration and use them in various tasks, but currently they differ greatly in their strategies for acquiring such capabilities. This review explores nascent technologies that promise more convergence. A novel form of artificial intelligence classifies objects according to sensory percepts during active exploration and decides on efficient sequences of exploratory actions to identify objects. Representing objects according to the collective experience of manipulating them provides a substrate for discovering causality and affordances. Such concepts that generalize beyond explicit training experiences are an important aspect of human intelligence that has eluded robots. For robots to acquire such knowledge, they will need an extended period of active exploration and manipulation similar to that employed by infants. The efficacy, efficiency and safety of such behaviors depends on achieving smooth transitions between movements that change quickly from exploratory to executive to reflexive. Animals achieve such smoothness by using a hierarchical control scheme that is fundamentally different from those of conventional robotics. The lowest level of that hierarchy, the spinal cord, starts to self-organize during spontaneous movements in the fetus. This allows its connectivity to reflect the mechanics of the musculoskeletal plant, a bio-inspired process that could be used to adapt spinal-like middleware for robots. Implementation of these extended and essential stages of fetal and infant development is impractical, however, for mechatronic hardware that does not heal and replace itself like biological tissues. Instead such development can now be accomplished in silico and then cloned into physical robots, a strategy that could transcend human performance.",
29,hostile_prior_work,Task-Oriented Robot Cognitive Manipulation Planning Using Affordance Segmentation and Logic Reasoning,2024,Zhongli Wang; Guohui Tian,IEEE Transactions on Neural Networks and Learning Systems,10.1109/tnnls.2023.3252578,https://doi.org/10.1109/tnnls.2023.3252578,12,affordance learning,predict which actions an object or scene physically affords to an embodied agent,learned action-effect affordance predictor,"skill preconditions are stable across materials, wear, and hidden state",the set of available diagnostic actions,same-named object with opposite affordance,makes generic affordance prediction and action-effect learning non-novel,auditable failure certificates for rejected actions,crossref:robot affordance learning manipulation,,
30,hostile_prior_work,PLATO: Planning with LLMs and Affordances for Tool Manipulation,2026,Arvind Car; Sai Yarlagadda; Alison Bartsch; Abraham George; Amir Barati Farimani,Journal of Intelligent &amp; Robotic Systems,10.1007/s10846-026-02392-y,https://doi.org/10.1007/s10846-026-02392-y,0,affordance learning,predict which actions an object or scene physically affords to an embodied agent,learned action-effect affordance predictor,the robot does not need to spend action budget on diagnostic tests,cost of unsafe false positives,rare material state dominates success but is not represented in labels,makes generic affordance prediction and action-effect learning non-novel,operational tests that define the predicate before task execution,crossref:robot physical reasoning manipulation planning,"Abstract As robotic systems become increasingly integrated into complex real-world environments, there is a growing need for approaches that enable robots to understand and act on natural language instructions without extensive pre-programmed knowledge. This paper presents PLATO, a system that addresses this challenge by leveraging specialized large language model agents to process language inputs, understand the environment, predict tool affordances, and generate executable actions. Unlike traditional systems that depend on hard-coded environmental information, PLATO employs a modular agent-based architecture that operates without any initial knowledge of the environment. These agents identify objects and their locations, generate a high-level plan, translate it into low-level actions, and verify successful execution. The system is tested particularly on challenging tool-use tasks, which involve handling diverse objects and require long-horizon planning. PLATO’s design allows it to adapt to dynamic and unstructured settings, enhancing its flexibility and robustness. By evaluating the system across various complex scenarios, we demonstrate its capability to tackle a diverse range of tasks and offer a novel solution to integrate LLMs with robotic platforms, advancing the state-of-the-art in autonomous robotic task execution. For videos and access to our code base, please see our project website: https://sites.google.com/view/plato-anonymous .",
31,hostile_prior_work,Robo-ABC: Affordance Generalization Beyond Categories via Semantic Correspondence for Robot Manipulation,2025,Yuanchen Ju; Kaizhe Hu; Guowei Zhang; Gu Zhang; Mingrun Jiang; Huazhe Xu,Lecture Notes in Computer Science,10.1007/978-3-031-72940-9_13,https://doi.org/10.1007/978-3-031-72940-9_13,37,affordance learning,predict which actions an object or scene physically affords to an embodied agent,learned action-effect affordance predictor,object names remain correlated with their physical affordances,sensor noise and latency,planner accepts a semantically plausible but physically impossible step,makes generic affordance prediction and action-effect learning non-novel,formal error bounds under label-preserving affordance flips,crossref:robot affordance learning manipulation,,
32,hostile_prior_work,RLAfford: End-to-End Affordance Learning for Robotic Manipulation,2023,Yiran Geng; Boshi An; Haoran Geng; Yuanpei Chen; Yaodong Yang; Hao Dong,2023 IEEE International Conference on Robotics and Automation (ICRA),10.1109/icra48891.2023.10161571,https://doi.org/10.1109/icra48891.2023.10161571,58,affordance learning,predict which actions an object or scene physically affords to an embodied agent,learned action-effect affordance predictor,the robot does not need to spend action budget on diagnostic tests,embodiment and end-effector geometry,novel object whose visible geometry is misleading,makes generic affordance prediction and action-effect learning non-novel,benchmarks where names and visual priors are decoupled from causal properties,crossref:robot affordance learning manipulation,,
33,hostile_prior_work,TARS: Tactile Affordance in Robot Synesthesia for Dexterous Manipulation,2025,Qiwei Wu; Haidong Wang; Jiayu Zhou; Xiaogang Xiong; Yunjiang Lou,IEEE Robotics and Automation Letters,10.1109/lra.2024.3505783,https://doi.org/10.1109/lra.2024.3505783,4,affordance learning,predict which actions an object or scene physically affords to an embodied agent,learned action-effect affordance predictor,the environment will not include adversarially relabeled or modified artifacts,the set of available diagnostic actions,diagnostic action changes the object state or consumes scarce resources,makes generic affordance prediction and action-effect learning non-novel,benchmarks where names and visual priors are decoupled from causal properties,crossref:robot affordance learning manipulation,,
34,hostile_prior_work,Learning Instruction-Guided Manipulation Affordance via Large Models for Embodied Robotic Tasks*,2024,Dayou Li; Chenkun Zhao; Shuo Yang; Lin Ma; Yibin Li; Wei Zhang,2024 International Conference on Advanced Robotics and Mechatronics (ICARM),10.1109/icarm62033.2024.10715821,https://doi.org/10.1109/icarm62033.2024.10715821,1,affordance learning,predict which actions an object or scene physically affords to an embodied agent,learned action-effect affordance predictor,the robot does not need to spend action budget on diagnostic tests,cost of unsafe false positives,same-named object with opposite affordance,makes generic affordance prediction and action-effect learning non-novel,formal error bounds under label-preserving affordance flips,crossref:robot affordance learning manipulation,,
35,hostile_prior_work,An Affordance Keypoint Detection Network for Robot Manipulation,2021,Ruinian Xu; Fu-Jen Chu; Chao Tang; Weiyu Liu; Patricio Vela,IEEE Robotics and Automation Letters,10.1109/lra.2021.3062560,https://doi.org/10.1109/lra.2021.3062560,48,affordance learning,predict which actions an object or scene physically affords to an embodied agent,learned action-effect affordance predictor,a plan-level success score is enough to expose local physical impossibility,sensor noise and latency,planner accepts a semantically plausible but physically impossible step,makes generic affordance prediction and action-effect learning non-novel,operational tests that define the predicate before task execution,crossref:robot affordance learning manipulation,,
36,hostile_prior_work,Learning Affordance Space in Physical World for Vision-based Robotic Object Manipulation,2020,Huadong Wu; Zhanpeng Zhang; Hui Cheng; Kai Yang; Jiaming Liu; Ziying Guo,2020 IEEE International Conference on Robotics and Automation (ICRA),10.1109/icra40945.2020.9196783,https://doi.org/10.1109/icra40945.2020.9196783,13,affordance learning,predict which actions an object or scene physically affords to an embodied agent,learned action-effect affordance predictor,a plan-level success score is enough to expose local physical impossibility,friction and contact conditions,sensor probe is noisy or unavailable,makes generic affordance prediction and action-effect learning non-novel,operational tests that define the predicate before task execution,crossref:robot affordance learning manipulation,,
